id	start_time	duration
0	2016-08-07	20.766666666666662
1	2016-08-14	23.816666666666666
2	2016-08-21	12.633333333333335
3	2016-08-28	31.866666666666664
4	2016-09-04	26.666666666666668
5	2016-09-11	42.03333333333334
6	2016-09-18	24.499999999999996
7	2016-09-25	43.05
8	2016-10-02	16.066666666666666
9	2016-10-09	35.41666666666666
10	2016-10-16	36.18333333333334
11	2016-10-23	37.033333333333324
12	2016-10-30	36.083333333333336
13	2016-11-06	47.099999999999994
14	2016-11-13	55.699999999999996
15	2016-11-20	29.816666666666663
16	2016-11-27	44.61666666666667
17	2016-12-04	42.849999999999994
18	2016-12-11	39.28333333333334
19	2016-12-18	32.5
20	2016-12-25	43.33333333333332
21	2017-01-01	31.116666666666667
22	2017-01-08	43.31666666666666
23	2017-01-15	24.550000000000004
